0,0,1
-5,0,1
-9.9879,-0.2348,1
-14.588,-2.0682,1
-17.735,-5.893,1
-18.944,-10.679,1
-17.853,-15.525,1
-14.651,-19.321,1
-10.089,-21.292,1
-5.1094,-21.538,1
-0.10944,-21.548,1
4.8905,-21.558,1
9.8731,-21.327,1
14.337,-19.188,1
17.422,-15.315,1
18.519,-10.478,1
17.345,-5.669,1
14.014,-2.0276,1
9.5062,0.0037638,1
4.514,0.088171,1
2.2429,0.097794,1
0,-3,2
-5,-3,2
-9.981,-3.2832,2
-14.15,-5.8133,2
-15.955,-10.373,2
-14.572,-15.067,2
-10.658,-18.016,2
-5.7253,-18.537,2
-0.72536,-18.547,2
4.2746,-18.557,2
9.2595,-18.39,2
13.491,-15.892,2
15.481,-11.398,2
14.438,-6.6079,2
10.678,-3.4089,2
5.7563,-2.9171,2
2.2302,-2.9022,2
-1,0,4
-3,0,4
-1,-3,4
-3,-3,4

